kinase,substrates
PR:Q8C669,"Q9H4A3,Q9UII2,Q99704,P33241,Q9NS91,O60343,Q9Y4R8,P21802,P42345,P31749,P38398,O15169,Q13151,O15350,O95835,Q9NYY3,Q6PIY7,P36888,Q13322,P15311,Q15349,P52926,O14745,Q9NP31,P36956,P51114,Q9UF56,P30518,O00238,P40259,Q13002,P47712,Q9NQA5,O15259,Q9H2S1,P07910,P46020,O14558,P21860,P10070,P62834,Q01082,Q9BXF6,Q13352,Q8TDD2,Q9BTX1,Q6UB35,PR:000036540,PR:000036592,P13010,Q8IXJ6,O14958,Q9HC62,Q76M96,Q9Y314,P12821,Q13907,Q9BRD0,Q5JSZ5,Q9H981,Q9UBU3,Q9NWS0,Q7L5N1,P19404"
PR:Q99697-2,"P03372,Q15208,P04899,Q96J84,Q9UBK2,O60566,Q96RT7,Q16665,O95786,P16885,P46531,P40763,Q9UBB4,PR:000037190,Q96Q27,Q9NZJ5,P01236,Q00975,O75449,O43541,Q92793,Q9UBN7,Q9NQC3,Q8IYT8,Q712K3,Q02539,O14640,Q13291,Q14739,P42338,Q9BTX1,PR:000029188,Q9P0V3,PR:000015829,O15217,PR:000037784,P29475,Q01955,Q96PU5,PR:O15350-5,Q8N3Y1,P51787,P12036,P38919,PR:P62258,O95425,Q9HCX4,Q9BYV9,P42574,P62913,Q9UL51,Q09470"
PR:000036649,"P15336,Q9NUW8,PR:O60566,PR:Q16654,O14733,PR:000025837,O15143,P05787,O75581,P05129,C9JLW8,Q02224,P30291,Q9UQL6,Q9H0D6,Q8TF76,O94804,Q15078,PR:000025959,O15014,P61224,O95471,P22059,P63010,P30203,Q9NQB0,Q96S94,PR:Q15208,P22234,Q5T8P6,Q8N3Y1"
PR:Q99697-3,"P13569,P04899,O60341,P48058,PR:000025963,Q96FA3,O75152,A0A173G4P4,P63000,Q9H211,P30048,O95785,P51948,PR:000037504,PR:000044898,Q13885,PR:O15392,P16284,Q70Z35,Q9NSI2,Q92598,P42574,P23760,O76090,P04035,PR:P21675"
PR:000036517,"P29972,Q13045,P52799,Q8TDC3,Q01844,P18433,Q9H1K1,PR:000035371,Q9NR80,O00186,B4DS64,Q16611,O60936"
PR:Q99697-1,"PR:P61981,P49815,Q9H8V3,Q71F23,Q8IWB6,P26038,Q9GZM8,P17861,Q9UJX5,Q96S94,P04183,P43694,PR:000027934"
Q13239,"P78527,Q13263,PR:Q53HL2,Q2M2I8,P16333,O94921,Q9H6E5,PR:000036443,P61160,Q9P0K7,P27695,P49585"
PR:Q96QF0-2,"P55273,P19838,P49459,P18754,P05387,P09038,P52757,P15822,Q8N752,P35790,P14410"
PR:000025639,"Q96FA3,PR:000036504,P15531,Q92878,O00257,Q13470,PR:P24864,P01350"
PR:P62993,"P16885,P19174,Q9UBB4,Q96QF0,P19105,PR:000026140,O75928"
PR:000036294,"O00429,PR:000026848,O75122,O00255,Q9BQA1,PR:Q7Z3T8"
PR:000049999,"Q99683,P13726,Q9Y6X2,P23771,Q8WUM4,Q14511"
Q9H7Z6,"P07910,P54296,Q96ST3,Q9BWC9,P04035,P14543"
PR:P20591,"Q12972,Q07817,Q9UHB6,P18615,PR:P18031"
PR:Q9HCX4,"Q8IW41,P51114,Q9NR28,P58215,O15355"
Q8NEV4,"Q8TDC3,Q12906,O60479,PR:000003109,PR:000037515"
P41227,"Q9UNA4,Q9NQB0,PR:P62258-1,Q9Y6R4,Q9UHD8"
Q15437,"P14635,Q9H0D6,O00327,P48200,Q9NRL2"
PR:P0DPB3-1,"Q13393,P61244,Q9BUB5,Q9HC98"
PR:000036589,"PR:Q9Y4K3,Q07157,O95819,Q02790"
P12694,"P15056,P11137,P48551,PR:000027774"
Q86SG6,"Q96TC7,Q49MG5,PR:000037192"
P11413,"P80192,PR:000036596,PR:P43403"
Q03252,"PR:000036635,Q8NEV4,Q00537"
PR:Q9HBA0-5,"P17275,P78352,PR:P62260"
PR:P55884,"P53999,P51817,PR:Q14164"
PR:Q9YGY0,"P16401,P08637,PR:P63165"
Q9BUL8,"PR:000028966,PR:P62993,PR:000044878"
Q9H981,"Q15833,Q9Y2Z0"
Q13562,"PR:000036408,Q9GZZ1"
Q04724,"PR:P02545-1,PR:Q16254"
Q9Y4R8,"PR:Q13616-1,PR:O70456"
Q9NSC5,"PR:Q13873-1,PR:Q9P0X4"
PR:P29590-4,"Q9UJX3,PR:000028614"
Q8IZD2,"PR:O70456,PR:P62993"
Q13618,"PR:P20749,P80192"
Q92597,"PR:000036517,PR:000000616"
PR:000026189,"PR:P20936,PR:Q16385"
PR:000036421,"Q9NSC5,Q14134"
PR:Q8NFJ9,"P27448,Q9UK76"
Q15365,"PR:Q86VP6-1,PR:Q03135"
PR:000044474,"P30101,P52888"
Q16695,"PR:Q8C669,O14874"
Q8WVI7,"PR:000027692,PR:000003229"
O96004,"PR:000036504,P12694"
Q13393,"PR:000036649,PR:000036632"
P12980,"P80192,Q8NEV4"
Q9ULG1,"P11234,P30050"
O15294,"Q12866,PR:P02545-1"
P42768,"PR:000025714,PR:P51617-1"
K9JYP4,"PR:P40855-2,PR:000000634"
P31994,"PR:Q99697-2,PR:P0DPB3-1"
O14713,"Q92905,PR:P40855-2"
Q9BSQ5,"PR:000025637,PR:P40855-1"
PR:000025712,"PR:P20591,PR:000000616"
PR:P19256,"P27695,PR:Q8WV44-2"
PR:000037508,"PR:000026035,Q8NEV4"
PR:Q9UNH7,"O60941,Q6P1M3"
O75460,"Q13501,Q13323"
Q8N9N5,"PR:P51617-1,PR:000036437"
Q8IU85,"PR:Q03135,Q08209"
PR:P20749,"Q96Q27,Q14957"
Q01959,"PR:000036437,Q9BTX1"
P29322,"PR:000037507,Q96A54"
Q04912,"PR:P35240-4,PR:Q96QF0-1"
PR:000025633,"Q9NS91,P00338"
Q5VWQ8,"P29322,PR:Q9P0X4"
Q92945,"Q6P0N0,PR:P25445-1"
P05387,"PR:Q86VP6-1,PR:000036635"
Q9NP87,Q13239
P12036,Q9Y295
Q14432,Q9BX84
O14638,Q96T60
Q9Y5B0,PR:Q99697-1
PR:000044508,O14874
Q07617,PR:000026848
P55040,PR:P16150
Q96LL9,PR:P55211
Q9NVP2,PR:000025714
Q5BJF6,PR:P40855-2
Q14005,PR:Q96QB1
P05106,Q08209
O75716,PR:000025962
PR:000049849,PR:000036635
Q13085,PR:P63073
Q9UP95,PR:O75912
P42338,O75628
Q14244,PR:000036637
Q8NG66,PR:000026035
PR:P62260,PR:000036632
O75581,PR:P41134-1
PR:O15350-1,PR:000044815
Q14654,Q9H7X0
Q7Z6J0,Q00403
PR:P00519,PR:000000617
P60983,PR:Q96QF0-2
P09601,PR:000002132
P52566,PR:Q9Y4K3
P11912,PR:P51617-1
Q5TA31,O14958
Q00613,Q92905
P30622,Q9GZV9
Q9H8G2,PR:P43403
Q9UPN9,PR:Q9Y4K3
P16885,PR:000026848
P36871,PR:Q9H204
Q5JTH9,Q9BTX1
PR:000025962,PR:Q9HBA0-1
Q99558,PR:Q9HBA0-5
O60341,Q15303
P05783,PR:000037513
Q9BQG0,PR:000036517
P16615,PR:Q99697-3
O00267,PR:P29590-4
P35462,Q15437
Q15046,Q08209
Q96L34,P07333
Q00839,PR:P29590-4
P33151,Q9BX84
Q9NY61,PR:O70456
Q92688,PR:Q13616-1
P49418,PR:P19256
P50895,PR:P20591
O95983,PR:000026848
P19544,PR:Q99697-2
PR:000028600,PR:Q92900-2
Q6P996,Q9BYX4
Q13509,O14730
O00303,PR:P56589
PR:000025938,PR:P15692-4
PR:000026140,PR:Q9HCX4
Q08493,PR:000027493
Q5TKA1,PR:P40337-3
P10415,P07333
Q9Y2N7,PR:000027692
Q9H2B2,PR:P40337-3
P28329,PR:Q92560
PR:P12931,O14638
Q9C029,PR:Q13547
P14598,PR:000036421
Q02447,O14730
Q8N3F8,PR:Q8NEC5-1
O00327,PR:P41134-1
Q8N163,PR:Q92560
Q13243,Q9H3M7
Q7L7L0,PR:P25445-1
PR:000028604,Q15437
P53999,PR:000044474
P14317,Q9BX84
PR:P29353,PR:000036473
P28562,PR:P38398-5
P35869,Q13239
Q7LG56,PR:000044815
Q8NER5,PR:000049846
Q13813,PR:P98077
Q14814,PR:P51617-1
PR:000036632,Q99986
P46459,PR:P19256
Q14573,PR:000036517
O00139,O14730
Q14738,Q15437
P12524,PR:Q99697-1
P51451,PR:000036437
O14874,P45973
PR:000044815,P31994
Q8NER1,P12694
Q9UBF8,Q9Y295
Q6R327,Q15437
Q9HAZ1,PR:000000617
O15350,P07333
O00329,O75056
P01106,O75460
PR:P41279-1,Q9BX84
PR:Q15013,O95218
O95786,PR:000027692
P08195,PR:Q92560
Q99638,PR:P56589
O14986,PR:Q16385
P50549,O75460
P78356,O14730
P0C0S8,PR:000035669
P10636,Q15437
Q9BY84,PR:P63073
O94844,PR:000036517
Q9UPT5,Q9BX84
P39687,P41227
P42702,PR:P02545-2
PR:000036443,Q13796
PR:P04489,PR:Q16385
PR:000036596,Q9UKV8
P10071,P29322
P49792,PR:000044878
Q01668,Q9Y295
Q12959,P07333
O75496,PR:P35968
Q9NQ66,Q15437
P12814,PR:000025633
Q9UPP1,PR:Q13616-1
Q9NWH9,PR:000036472
Q96LC9,PR:Q8NFJ9
PR:Q92560,P51114
O94855,P23458
O75822,PR:Q13616-1
Q8IYT8,PR:P40855-2
O95471,PR:P38398-5
PR:Q92793-1,PR:P16150
P26045,PR:000036437
Q99828,PR:Q9HAU4
P21860,P42338
Q96NX5,PR:P20749
Q06609,PR:P62877-1
P53004,O75716
P01116,PR:P03247-1
Q13370,PR:000036589
PR:000028546,PR:000036504
P22001,PR:P00523-1
Q99626,PR:P00523-1
P12235,Q9BX84
Q9Y6X2,PR:O60238
Q9UIG0,Q15303
PR:P18075,Q9UH99
P20339,P13861
Q9NR28,PR:000036437
Q8NFC6,PR:Q9P0X4
O15269,P80192
PR:000003057,PR:P02545-1
P41161,PR:P63165
Q07352,Q9NR22
P41146,PR:000036649
Q2M2I8,PR:Q9NZC7-1
Q09470,PR:000036649
Q15653,P13861
O60346,PR:P63073
PR:000036637,Q8IYW5
P42568,PR:000036472
O60479,PR:000000634
Q9UQQ2,PR:Q8WV44-2
PR:P35240-4,Q8IXQ3
P41145,Q9BYX4
Q16623,P41227
P20813,PR:Q96QF0-2
Q16526,PR:P63279
P10243,PR:000049846
Q9P270,PR:000049846
Q8NG27,PR:000036649
Q9BR01,Q9H7X0
P07910,Q96GX8
Q13439,PR:000003229
Q969H0,Q92905
P49916,PR:Q9HBA0-5
PR:000025714,PR:Q69ZI1
Q16873,Q08209
O14744,PR:000036649
Q9NZV8,P07333
P30050,Q9BX84
P48681,O14874
P12956,PR:000025639
Q16288,Q04724
P16220,PR:000036504
Q9Y6X8,P29322
Q53ET0,PR:P38398-5
PR:000044478,PR:Q03014
Q96T23,PR:000036504
P30086,PR:P62877-1
PR:Q9BZD4,PR:000035373
P54296,PR:P43403
P53805,Q9BX84
PR:000036624,Q86VM9
Q9UQD0,PR:Q9D666
Q6PIY7,PR:000036517
P78536,PR:P51617-1
Q68EM7,PR:P40855-2
PR:000028561,Q8N165
Q7Z5J4,Q9H7X0
Q07955,P29322
O60928,PR:Q86VP6-1
P10244,PR:000036443
PR:P09874,PR:P19256
PR:P20936,Q13243
P22736,PR:000036517
Q9NQC3,PR:Q99697-1
PR:000044476,Q9BUL8
P33316,PR:000036540
Q99418,Q8NFH5
PR:P18031,PR:Q14457
P36888,PR:Q13616-1
P30041,PR:P29590-4
PR:000037510,PR:000036596
Q15181,PR:Q9HCX4
O43251,PR:000036437
O15266,Q8NEV4
P08183,PR:Q8NFJ9
O00763,PR:000036517
Q9BYG3,O75716
P21673,PR:000025714
Q9H211,PR:000036635
Q96S94,PR:Q96QB1
P23409,Q86SG6
PR:P49454,PR:Q8NEC5-1
P55042,Q86SG6
P30874,PR:Q9Y4K3
PR:Q08209,Q13239
Q7Z2E3,Q08209
Q9BV47,P13861
Q9Y5S8,PR:P0DPB3-1
Q9UMX6,PR:P40337-3
Q99062,PR:000025800
P41219,Q08209
O95551,P29322
Q9UKT7,PR:000049847
P01350,PR:P20749
Q9NYV4,PR:Q8WV44-2
P23528,PR:P40855-2
P50552,PR:P51617-1
Q96PX8,PR:000036294
P11308,PR:000000278
P15311,PR:000027692
O95707,PR:000000164
P23588,Q15437
PR:Q8NEC5-1,Q15078
Q96J92,PR:000027493
PR:P02545-1,P04035
PR:000028754,PR:000036517
Q9Y6H6,PR:000036641
Q6P0Q8,PR:Q8C669
Q96CW1,PR:P45973
P19235,PR:Q9UER7-1
P54198,PR:Q16254
PR:000036635,Q16254
O60229,PR:P35240-3
Q9UJU6,P41227
Q9UQ13,Q92905
P47989,PR:P19256
PR:000045369,P49916
PR:000000617,P48681
Q14790,PR:P19256
P41181,PR:000036649
Q02297,PR:000025800
PR:O14965,PR:000036589
P18754,PR:P45973
O60237,PR:000027692
P46109,PR:000036408
Q8N1G1,PR:000036421
PR:000027726,Q15303
Q99502,PR:P51617-1
PR:000028637,PR:P0DPB3-1
P62258,PR:Q12888
P52732,PR:Q92560
P02686,PR:P41134-1
P33176,PR:P41134-1
P43699,PR:P68403-2
Q96BY7,Q8IY84
Q96RU2,PR:Q99697-2
Q7L5N1,PR:Q13105
Q9ULX3,PR:P20591
P24534,P29322
P35222,PR:000044474
PR:000030192,PR:P38398-5
Q8TCS8,PR:Q12888
Q6ZS17,P12694
